Indicator Name	Indicator Code	Country Name	Country Code	2000	2010
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Equatorial Guinea	GNQ	12.4526807	-0.513165307
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Eritrea	ERI	-13.12036663	2.203249793
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Estonia	EST	9.69716794	3.330611346
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Ethiopia	ETH	6.072859062	9.937345319
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Euro area	EMU	3.776831974	2.104119206
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Europe & Central Asia (all income levels)	ECS	4.129278493	2.547882778
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Europe & Central Asia (developing only)	ECA	7.509403996	5.84494784
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	European Union	EUU	3.883714393	2.203070138
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Faeroe Islands	FRO		
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Fiji	FJI	-1.7	-0.181456768
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Finland	FIN	5.323751325	3.324179985
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	France	FRA	3.679946733	1.663093831
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	French Polynesia	PYF	4.000000343	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Gabon	GAB	-1.882966396	6.605103142
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Gambia, The"	GMB	5.5	6.526297446
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Georgia	GEO	1.838341147	6.253027581
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Germany	DEU	3.057649432	4.157740993
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Ghana	GHA	3.699999997	8.008593189
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Greece	GRC	4.477405703	-4.943155039
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Greenland	GRL	7.10159701	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Grenada	GRD	2.503244603	-0.04152375
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Guam	GUM		
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Guatemala	GTM	3.6088687	2.909964231
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Guinea	GIN	2.503060562	1.936217423
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Guinea-Bissau	GNB	7.5	3.472523585
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Guyana	GUY	-1.376727501	4.370869417
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Haiti	HTI	0.875239923	-5.416012559
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Heavily indebted poor countries (HIPC)	HPC	3.007254469	5.441273711
